Dataset,Method,M,SMSE_mean,SMSE_std,MSLL_mean,MSLL_std,TrainTime_mspt_mean,TrainTime_mspt_std
KIN40K,GPOE,200,0.335992355378311,0.0210863410540828,-0.606178726256664,0.0267087961825472,0.0473172,0.000791273887080192
KIN40K,GPOE,300,0.255301466952685,0.030251963240506,-0.764632334288215,0.0405730596196944,0.054499725,0.000389746615604292
KIN40K,GPOE,400,0.189626638085927,0.0164898224805377,-0.927281843850619,0.032239114448571,0.0625305583333333,0.000511100089472053
KIN40K,GPOE,500,0.153963067821181,0.0136320479163325,-1.04355624289399,0.0307491981849742,0.0742376666666667,0.00275259813691235
KIN40K,GPOE,600,0.13298178414995,0.00773236824664697,-1.12688879693474,0.018627974803225,0.0819794333333333,0.000709778316771042
KIN40K,GPOE,700,0.118942459576854,0.00490182868233334,-1.16780572488944,0.0341558453237552,0.0888638,0.0013612094307545
KIN40K,GPOE,800,0.106297719856519,0.00179629143392592,-1.2195676013202,0.0143220283062485,0.0969560333333333,0.000521397843142197
KIN40K,GPOE,900,0.095513679516579,0.0036885050458451,-1.26697992670613,0.00698631525107282,0.108010683333333,0.00107212612957074
KIN40K,GPOE,1000,0.0899838586658269,0.0105981769724473,-1.2927828956061,0.0393803791753309,0.117056833333333,0.00296126623046769
KIN40K,GPOE,1100,0.0845743852694724,0.00381449925162913,-1.29576819582548,0.0410430029686208,0.133752616666667,0.0015469643669808
KIN40K,GPOE,1200,0.0804472886526039,0.00197705220054918,-1.3204603146484,0.0195805134453166,0.143329925,0.000933887043490799
KIN40K,GPOE,1300,0.0744572396418344,0.00692081205184961,-1.32027274764251,0.0578886080059454,0.154316016666667,0.000826688711945622
KIN40K,GPOE,1400,0.0700276233439601,0.00349784416099801,-1.36692021912671,0.0192612714166762,0.161228525,0.00243166456349863
KIN40K,GPOE,1500,0.0649428229509845,0.00361187201819284,-1.37984387176238,0.0445491995651586,0.1701713,0.00440384892856521
KIN40K,GPOE,1600,0.0665090684250633,0.00588679951886716,-1.3416229736571,0.0710334422844006,0.179875558333333,0.00525572949636475
KIN40K,GPOE,1700,0.059051402935706,0.00167700462775281,-1.35261641852825,0.0533893799319138,0.190069991666667,0.00199928717317781
KIN40K,GPOE,1800,0.0571834675062218,0.000919843288926191,-1.40569173778745,0.0460339874736929,0.200356875,0.00178287725110283
KIN40K,GPOE,1900,0.054692567602337,0.00297706763875279,-1.36228447862526,0.0340685529064492,0.210150525,0.00388554749528622
KIN40K,GPOE,2000,0.05247860800069,0.00194633747342504,-1.37983403182407,0.0696814492744239,0.220868933333333,0.00113463642699252
KIN40K,GPOE,2100,0.0514213380119218,0.00232011299421621,-1.35595412042953,0.0696545335413758,0.23216035,0.000989234520664854
KIN40K,GPOE,2200,0.048199500733408,0.000907648709917044,-1.35977658656478,0.0584083215871775,0.2248082,0.00368375865760773
KIN40K,GPOE,2300,0.0468572643746507,0.00244019703852279,-1.32288883013364,0.0882090643569466,0.236902275,0.0017685925087128
KIN40K,GPOE,2400,0.0465980477624225,0.00351170440857209,-1.32732369473767,0.105339621386768,0.247699191666667,0.00270857742139825
KIN40K,GPOE,2500,0.045000900296567,0.00333856398503137,-1.34813615428671,0.0546015986177645,0.258450758333333,0.00137860892350163
KIN40K,MOE,100,0.511598515998788,0.0442426001804032,-0.368259540621276,0.0354506799173166,0.0379512,0.000420073449678747
KIN40K,MOE,200,0.308380357391745,0.0176167303386688,-0.643314490370254,0.0241926301887423,0.0440845333333333,0.000386997371868765
KIN40K,MOE,300,0.230716965238447,0.0188543130622742,-0.811617125547931,0.0184396880315167,0.050272825,0.000812219410011849
KIN40K,MOE,400,0.176445404483715,0.0109343825524243,-0.956748709123234,0.0119236060115364,0.05777925,0.00137026761095233
KIN40K,MOE,500,0.148033835572469,0.00861317134016581,-1.05095275476662,0.0148753520950966,0.0676597833333333,0.00191600039540923
KIN40K,MOE,600,0.130408719208931,0.00522465093383829,-1.11725508438046,0.00499845045217356,0.0733833416666667,0.00131293440842768
KIN40K,MOE,700,0.119161551967271,0.00401621789179021,-1.14631173656764,0.0128580191610121,0.0817272166666667,0.00233024251076113
KIN40K,MOE,800,0.110816827105824,0.00138259488998017,-1.17046271804832,0.0106979625777496,0.0867262833333333,0.000376046269039237
KIN40K,MOE,900,0.105113690247279,0.0016205512713512,-1.16722414098524,0.0199214602308077,0.100209375,0.000659940908339535
